Права дир.,Права файла,Созд файла,Удаление файла,Запись в файл,Чтение файла,Смена дир,Просм файлов в дир,Переим файла,Смена атр файла
000,000,-,-,-,-,-,-,-,-
000,010,-,-,-,-,-,-,-,-
000,020,-,-,-,-,-,-,-,-
000,030,-,-,-,-,-,-,-,-
000,040,-,-,-,-,-,-,-,-
000,050,-,-,-,-,-,-,-,-
000,060,-,-,-,-,-,-,-,-
000,070,-,-,-,-,-,-,-,-
010,000,-,-,-,-,+,-,-,-
010,010,-,-,-,-,+,-,-,-
010,020,-,-,+,-,+,-,-,-
010,030,-,-,+,-,+,-,-,-
010,040,-,-,-,+,+,-,-,-
010,050,-,-,-,+,+,-,-,-
010,060,-,-,+,+,+,-,-,-
010,070,-,-,+,+,+,-,-,-
020,000,-,-,-,-,-,-,-,-
020,010,-,-,-,-,-,-,-,-
020,020,-,-,-,-,-,-,-,-
020,030,-,-,-,-,-,-,-,-
020,040,-,-,-,-,-,-,-,-
020,050,-,-,-,-,-,-,-,-
020,060,-,-,-,-,-,-,-,-
020,070,-,-,-,-,-,-,-,-
030,000,+,+,-,-,+,-,+,-
030,010,+,+,-,-,+,-,+,-
030,020,+,+,+,-,+,-,+,-
030,030,+,+,+,-,+,-,+,-
030,040,+,+,-,+,+,-,+,-
030,050,+,+,-,+,+,-,+,-
030,060,+,+,+,+,+,-,+,-
030,070,+,+,+,+,+,-,+,-
040,000,-,-,-,-,-,-,-,-
040,010,-,-,-,-,-,-,-,-
040,020,-,-,-,-,-,-,-,-
040,030,-,-,-,-,-,-,-,-
040,040,-,-,-,-,-,-,-,-
040,050,-,-,-,-,-,-,-,-
040,060,-,-,-,-,-,-,-,-
040,070,-,-,-,-,-,-,-,-
050,000,-,-,-,-,+,+,-,-
050,010,-,-,-,-,+,+,-,-
050,020,-,-,+,-,+,+,-,-
050,030,-,-,+,-,+,+,-,-
050,040,-,-,-,+,+,+,-,-
050,050,-,-,-,+,+,+,-,-
050,060,-,-,+,+,+,+,-,-
050,070,-,-,+,+,+,+,-,-
060,000,-,-,-,-,-,+,-,-
060,010,-,-,-,-,-,+,-,-
060,020,-,-,-,-,-,+,-,-
060,030,-,-,-,-,-,+,-,-
060,040,-,-,-,-,-,+,-,-
060,050,-,-,-,-,-,+,-,-
060,060,-,-,-,-,-,+,-,-
060,070,-,-,-,-,-,+,-,-
070,000,+,+,-,-,+,+,+,-
070,010,+,+,-,-,+,+,+,-
070,020,+,+,+,-,+,+,+,-
070,030,+,+,+,-,+,+,+,-
070,040,+,+,-,+,+,+,+,-
070,050,+,+,-,+,+,+,+,-
070,060,+,+,+,+,+,+,+,-
070,070,+,+,+,+,+,+,+,-